datei,beta,r2
Places365_val_00024681.jpg,2.279134,0.991388
Places365_val_00020729.jpg,1.765905,0.982182
Places365_val_00008322.jpg,2.326048,0.989452
Places365_val_00030419.jpg,1.944720,0.939595
Places365_val_00003685.jpg,2.560099,0.979240
Places365_val_00023248.jpg,2.886373,0.983766
Places365_val_00003117.jpg,2.165919,0.993183
Places365_val_00029577.jpg,2.096071,0.989000
Places365_val_00000408.jpg,1.995462,0.839735
Places365_val_00001554.jpg,2.419530,0.995590
Places365_val_00021890.jpg,1.667850,0.802344
Places365_val_00025825.jpg,2.391551,0.981282
Places365_val_00033123.jpg,2.640084,0.990616
Places365_val_00013059.jpg,2.396345,0.992692
Places365_val_00025328.jpg,2.651458,0.995730
Places365_val_00011540.jpg,2.604674,0.983004
Places365_val_00006770.jpg,2.684067,0.996176
Places365_val_00010925.jpg,2.111446,0.987892
Places365_val_00018765.jpg,2.264411,0.971757
Places365_val_00034690.jpg,2.324717,0.978800
Places365_val_00009481.jpg,2.868500,0.989257
Places365_val_00004898.jpg,2.143858,0.964872
Places365_val_00020740.jpg,2.538277,0.985841
Places365_val_00019907.jpg,2.777745,0.993077
Places365_val_00010331.jpg,2.634396,0.996423
Places365_val_00002578.jpg,2.507124,0.981777
Places365_val_00006142.jpg,2.288522,0.991133
Places365_val_00020577.jpg,2.814170,0.988965
Places365_val_00027998.jpg,2.314193,0.989201
Places365_val_00024883.jpg,1.955039,0.991906
Places365_val_00036456.jpg,1.880174,0.977611
Places365_val_00015555.jpg,2.633207,0.994407
Places365_val_00013827.jpg,2.386266,0.990190
Places365_val_00026872.jpg,2.443393,0.991723
Places365_val_00030024.jpg,3.062746,0.988525
Places365_val_00021706.jpg,2.402348,0.991788
Places365_val_00024182.jpg,2.427859,0.968584
Places365_val_00012228.jpg,2.287123,0.994227
Places365_val_00024716.jpg,1.631319,0.961647
Places365_val_00000018.jpg,2.827527,0.993310
Places365_val_00033043.jpg,2.354595,0.960383
Places365_val_00006765.jpg,2.534826,0.982230
Places365_val_00030406.jpg,2.549233,0.984900
Places365_val_00010541.jpg,2.260916,0.984660
Places365_val_00005645.jpg,2.358459,0.988973
Places365_val_00021833.jpg,2.002383,0.988687
Places365_val_00028094.jpg,2.204114,0.987808
Places365_val_00009169.jpg,2.595088,0.979045
Places365_val_00017221.jpg,2.306997,0.975984
Places365_val_00011432.jpg,2.200553,0.990169
Places365_val_00027456.jpg,2.628631,0.992018
Places365_val_00027747.jpg,2.065918,0.990848
Places365_val_00009398.jpg,2.388219,0.993622
Places365_val_00024312.jpg,2.333627,0.996146
Places365_val_00009387.jpg,2.886021,0.994326
Places365_val_00013071.jpg,2.602755,0.996500
Places365_val_00014262.jpg,2.645037,0.991915
Places365_val_00028107.jpg,2.499290,0.991395
Places365_val_00031243.jpg,2.595965,0.976514
Places365_val_00031360.jpg,2.902021,0.986933
Places365_val_00032184.jpg,2.629409,0.982565
Places365_val_00021332.jpg,2.247295,0.996594
Places365_val_00027644.jpg,2.820211,0.967859
Places365_val_00008809.jpg,2.287179,0.970811
Places365_val_00030624.jpg,2.812878,0.993026
Places365_val_00023042.jpg,2.007927,0.989873
Places365_val_00028719.jpg,2.868106,0.995631
Places365_val_00012200.jpg,2.568714,0.983154
Places365_val_00003779.jpg,3.245273,0.997970
Places365_val_00019891.jpg,2.295100,0.990887
Places365_val_00019874.jpg,2.818431,0.994465
Places365_val_00017394.jpg,2.338676,0.993750
Places365_val_00022508.jpg,2.729525,0.989700
Places365_val_00034151.jpg,2.463862,0.988908
Places365_val_00028603.jpg,2.639941,0.992879
Places365_val_00032313.jpg,2.133759,0.980463
Places365_val_00034310.jpg,2.695492,0.987290
Places365_val_00022917.jpg,2.272745,0.963908
Places365_val_00009360.jpg,2.717704,0.990917
Places365_val_00003665.jpg,2.493075,0.986203
Places365_val_00016924.jpg,2.521837,0.989432
Places365_val_00029845.jpg,2.413122,0.993229
Places365_val_00028677.jpg,2.708907,0.991451
Places365_val_00025575.jpg,2.710197,0.993897
Places365_val_00011124.jpg,1.646631,0.931330
Places365_val_00024704.jpg,2.802865,0.989298
Places365_val_00031669.jpg,2.814877,0.993409
Places365_val_00023622.jpg,3.007162,0.982613
Places365_val_00024288.jpg,2.219777,0.973326
Places365_val_00015092.jpg,2.220437,0.959612
